cross_street_name,crimename1,crime_count
10TH AVE,Crime Against Property,2
10TH AVE,Crime Against Society,1
16TH ST,Crime Against Person,2
16TH ST,Crime Against Property,7
AIRCRAFT DR,Crime Against Person,11
AIRCRAFT DR,Crime Against Property,36
AIRCRAFT DR,Crime Against Society,6
AIRPARK RD,Crime Against Property,2
ALDERTON RD,Crime Against Property,1
AMBER RIDGE CIR,Crime Against Property,2
AMBER RIDGE DR,Crime Against Property,1
AMHERST AVE,Crime Against Person,6
AMHERST AVE,Crime Against Property,45
AMHERST AVE,Crime Against Society,15
AMITY DR,Crime Against Property,2
ANDERSON AVE,Crime Against Property,1
ANGUS PL,Crime Against Property,23
ANITA CT,Crime Against Property,1
APPLE RIDGE RD,Crime Against Person,4
APPLE RIDGE RD,Crime Against Property,9
APPLE RIDGE RD,Crime Against Society,2
ARCHDALE RD,Crime Against Person,8
ARCHDALE RD,Crime Against Property,10
ARCHDALE RD,Crime Against Society,7
ARCOLA AVE,Crime Against Person,6
ARCOLA AVE,Crime Against Property,12
ARCOLA AVE,Crime Against Society,5
ARCTIC AVE,Crime Against Person,1
ARCTIC AVE,Crime Against Society,1
ARGYLE ST,Crime Against Not a Crime,3
ARGYLE ST,Crime Against Person,2
ARGYLE ST,Crime Against Property,10
ARGYLE ST,Crime Against Society,1
ARLINGTON RD,Crime Against Person,7
ARLINGTON RD,Crime Against Property,71
ARLINGTON RD,Crime Against Society,4
ARLISS ST,Crime Against Person,5
ARLISS ST,Crime Against Property,27
ARLISS ST,Crime Against Society,6
ASHTON RD,Crime Against Person,1
ASHTON RD,Crime Against Property,5
ATHERTON CT,Crime Against Not a Crime,1
ATHERTON CT,Crime Against Society,1
ATHERTON DR,Crime Against Property,1
ATLANTIC AVE,Crime Against Person,3
ATLANTIC AVE,Crime Against Property,26
ATLANTIC AVE,Crime Against Society,27
AUTO PARK AVE,Crime Against Property,1
AUTO PARK AVE,Crime Against Society,1
AUTOMOBILE BLVD,Crime Against Property,8
AUTOMOBILE BLVD,Crime Against Society,1
AVERY PARK DR,Crime Against Person,1
AVERY PARK DR,Crime Against Property,1
AVERY PARK DR,Crime Against Society,1
AVERY RD,Crime Against Society,6
BAILEYS LA,Crime Against Property,3
BALTIMORE RD,Crime Against Person,2
BALTIMORE RD,Crime Against Property,9
BALTIMORE RD,Crime Against Society,6
BALTIMORE ST,Crime Against Property,1
BALTIMORE ST,Crime Against Society,1
BARLEYCORN WAY,Crime Against Property,1
BARTRAM ST,Crime Against Society,1
BATSON RD,Crime Against Property,5
BATTERY LA,Crime Against Property,1
BAUER DR,Crime Against Person,3
BAUER DR,Crime Against Property,13
BAUER DR,Crime Against Society,1
BEACON RD,Crime Against Person,2
BEACON RD,Crime Against Property,14
BEACON RD,Crime Against Society,2
BEALL AVE #2,Crime Against Person,1
BEALL AVE #2,Crime Against Society,7
BEL PRE CT,Crime Against Property,1
BEL PRE RD,Crime Against Person,5
BEL PRE RD,Crime Against Property,8
BEL PRE RD,Crime Against Society,8
BENDER CT,Crime Against Property,4
BETHESDA CHURCH RD,Crime Against Person,4
BETHESDA CHURCH RD,Crime Against Property,7
BETHESDA CHURCH RD,Crime Against Society,1
BLACKBURN RD,Crime Against Property,1
BLACKTHORN ST,Crime Against Property,1
BLUEBIRD TERR,Crime Against Property,3
BLUERIDGE AVE,Crime Against Property,10
BLUHILL RD,Crime Against Property,1
BONIFANT RD,Crime Against Person,2
BONIFANT RD,Crime Against Property,3
BONIFANT RD,Crime Against Society,2
BONIFANT ST,Crime Against Person,10
BONIFANT ST,Crime Against Property,27
